Station,Date,mean_T,min_T,max_T,Precipitation
38384001,19680101,-0.7,-5,2.3,12.8
38384001,19680102,0.2,-0.8,2,6.9
38384001,19680103,-2.3,-5.2,2.8,5.2
38384001,19680104,1.6,-0.9,3.2,4.5
38384001,19680105,1.4,0.2,7.8,14.4
38384001,19680106,2.4,0.4,6,3.6
38384001,19680107,2.7,-0.1,7,3.5
38384001,19680108,-0.8,-2.2,-0.2,1.8
38384001,19680109,-1.3,-3.8,2.7,4
38384001,19680110,-4.8,-8.7,-3,3.4
38384001,19680111,-6,-12.4,-1.9,5
38384001,19680112,-4.5,-8,-2.3,0.1
38384001,19680113,-11,-19.4,-1.8,5.1
38384001,19680114,-2.1,-9,0.4,5.5
38384001,19680115,1.2,-2,5.1,0
38384001,19680116,1.5,-1.8,6,0
38384001,19680117,1.2,-2.9,5.1,4.8
38384001,19680118,2.4,1,4,0.6
38384001,19680119,2.1,0.6,4.1,0.1
38384001,19680120,2.2,1,5.1,0
38384001,19680121,-0.2,-4,3.9,0
38384001,19680122,-0.7,-3.6,5.4,0
38384001,19680123,-2,-3.6,0.7,0
38384001,19680124,-1.3,-6.3,1.1,1.1
38384001,19680125,0.3,-0.7,1.4,1.2
38384001,19680126,1.6,0.1,3.8,7.4
38384001,19680127,3.3,1.2,5.1,1.2
38384001,19680128,0.7,-2.1,5.4,0
38384001,19680129,1.5,-0.8,4.8,0
38384001,19680130,0.5,-3.1,5.9,0
38384001,19680131,0.8,-5.4,8.4,0
38384001,19680201,4.1,-0.9,9.7,0
38384001,19680202,4.5,2,8.1,4.3
38384001,19680203,0.8,0.3,2.3,9.8
38384001,19680204,-0.4,-2.3,1.2,0
38384001,19680205,0.7,-4.8,7,5
38384001,19680206,2.1,0.1,5.2,10.7
38384001,19680207,5.3,1,10.1,0
38384001,19680208,3.6,0.4,5.2,17.7
38384001,19680209,4.9,1,8,2.1
38384001,19680210,5.6,3.2,9.4,0
38384001,19680211,3.8,-1.1,9.3,0
38384001,19680212,4.2,3,6.1,7.6
38384001,19680213,4.1,0.1,8.5,0.9
38384001,19680214,7.7,4.3,13.7,2.1
38384001,19680215,7.6,6,11.1,5.9
38384001,19680216,4.1,2.4,5,0.1
38384001,19680217,1,-1,4.2,0
38384001,19680218,0.8,-5,6.7,0
38384001,19680219,3.5,-1.9,9.3,4.3
38384001,19680220,7,3.8,10.5,0
38384001,19680221,6.7,5,9.8,1.2
38384001,19680222,6.4,3.8,10.1,15
38384001,19680223,7.2,5.2,10.2,18.3
38384001,19680224,5.2,4.1,5.8,12.1
38384001,19680225,3.4,1.4,5,0
38384001,19680226,2.2,1.3,3.5,0
38384001,19680227,2,1.1,3.7,0
38384001,19680228,3,-1.1,7.6,0
38384001,19680229,3,-3.3,6.7,0
38384001,19680301,5.1,-3.1,12.3,0
38384001,19680302,5.3,-0.4,11.2,0
38384001,19680303,1.9,0.6,2.4,0
38384001,19680304,2.1,0.3,4,0
38384001,19680305,1.4,-4,6.8,0
38384001,19680306,2.2,0.7,3.2,6.8
38384001,19680307,1.2,-1.5,3.2,0.1
38384001,19680308,1.4,-2,5,0
38384001,19680309,1.4,-1.4,5.1,0
38384001,19680310,2.7,-1.2,6.1,0
38384001,19680311,5,3.3,8.7,0.2
38384001,19680312,3.3,2,6.2,0
38384001,19680313,1.7,-5.2,9.7,0
38384001,19680314,2.4,-3.3,7.8,0
38384001,19680315,4.5,-1.8,10.8,5.1
38384001,19680316,4.2,2,7.2,0
38384001,19680317,5.7,-2.9,14.2,0.2
38384001,19680318,8.4,5,12.9,0
38384001,19680319,6.9,0.8,13.3,0
38384001,19680320,8.6,3.4,12.8,0.8
38384001,19680321,5.4,2.7,12.4,20.6
38384001,19680322,4.6,-0.1,11.1,0.8
38384001,19680323,9.1,2.6,17.1,0
38384001,19680324,10.9,1.8,18.7,0
38384001,19680325,11.5,4.7,18.4,0
38384001,19680326,10.3,2.9,19.1,0
38384001,19680327,10,1.8,20,0
38384001,19680328,13.1,5.6,20.9,0
38384001,19680329,12.5,2.6,20.4,0
38384001,19680330,11.2,3.1,19,0
38384001,19680331,11.8,3.1,18.9,0
38384001,19680401,9.5,3.7,16,0
38384001,19680402,11.7,5.3,17.3,1.9
38384001,19680403,8.3,4.6,11,3.3
38384001,19680404,5.4,-2.5,11.2,0.2
38384001,19680405,12,7,17.8,0
38384001,19680406,12.2,8.7,18,0.1
38384001,19680407,5.6,2.1,7.3,2.2
38384001,19680408,5.4,3.1,9.2,0
38384001,19680409,4,-2.7,10.8,0
38384001,19680410,6.1,-2.3,15.4,0
38384001,19680411,7,-1.7,14.1,0
38384001,19680412,5.4,-1.6,14.1,0
38384001,19680413,6.3,1,12,1.4
38384001,19680414,7.9,5,11.6,0.5
38384001,19680415,11.5,6.6,18.2,0
38384001,19680416,11.2,4.9,15.9,0
38384001,19680417,12.7,5.6,18.8,0
38384001,19680418,14,9.2,20.9,0
38384001,19680419,15.7,7.6,23.1,0
38384001,19680420,17.1,9.3,25,0
38384001,19680421,17.2,7.3,25.3,0
38384001,19680422,17.3,7.2,25.8,0
38384001,19680423,16.3,8.2,24.1,0
38384001,19680424,10.8,10,12.8,9.5
38384001,19680425,8.1,3,12.9,0
38384001,19680426,9.4,3.8,14.8,0
38384001,19680427,10.3,4.2,15.5,24.8
38384001,19680428,14.1,9.2,19.7,28.3
38384001,19680429,11,5.4,16.1,0.1
38384001,19680430,10.9,6.2,16.3,0.2
38384001,19680501,12.8,7.1,18.7,0.8
38384001,19680502,12,10.4,14.8,10
38384001,19680503,14.4,9,21.6,0
38384001,19680504,15.3,10.4,21.6,0.3
38384001,19680505,16.4,10.8,21.7,0
